Dấu thời gian,Số người,Số máy lạnh,Số quạt máy và thời gian sử dụng 1 ngày?,Phòng có tủ lạnh không?,Số giờ bật máy lạnh ,Diện tích,Loại nhà,Tiền điện trung bình 1 tháng là bao nhiêu vnd?
10/05/2026 14:05:08,7,1,3 và 24h,Không,10,35,Chung cư,900
10/05/2026 14:10:15,2,2,3 và 24h,Có,12,14,Căn hộ,1100000
10/05/2026 14:10:15,2,1,1 và 24h,Có,1,30,Chung cư,350000
10/05/2026 14:10:41,2,1,1 và 24h,Có,24,100,Căn hộ,5000000
10/05/2026 14:13:16,3,1,3 và 24h,Có,5,40,Trọ,1000000
10/05/2026 14:14:26,3,0,3 và 12h,Có,0,12,Nhà nguyên căn,700000
10/05/2026 14:15:40,3,1,3 và 24h,Có,2,25,Phòng trọ,500000
10/05/2026 14:18:08,3,1,3 và 24h,Có,4,25,Trọ,900000
10/05/2026 14:18:39,3,2,1 và 5h,Có,5,35,Trọ,700000
10/05/2026 14:19:14,1,1,2 và 10h,Có,2,36,Trọ,250000
10/05/2026 14:33:39,2,1,4 và 24h,Không,8,15,Trọ,300000
10/05/2026 14:36:24,3,1,2 và 24h,Có,4,20,Trọ,400000
10/05/2026 15:43:38,1,1,1và 7h,Có,7,30,Nhà nguyên căn,4000000
10/05/2026 16:02:58,2,1,1 và 10h,Không,8,5,Trọ,500000
10/05/2026 16:12:54,1,0,1 và 10h,Không,0,10,Trọ,116000
10/05/2026 16:23:55,3,2,3 và 24h,Có,4,50,Nhà nguyên căn,1000000
10/05/2026 18:53:14,2,1,1 và 3h,Có,8,15,Trọ,800000
10/05/2026 18:55:21,3,1,1 và 24h,Có,3,10,Trọ,1600000
10/05/2026 19:39:31,4,1,4 và 24h,Có,4,10,Trọ,2000000
10/05/2026 19:48:03,7,1,3 và 24h,Không,10,40,Chung cư,990000
11/05/2026 00:36:51,2,1,2 và 24h,Không,8,20,Trọ,300000
11/05/2026 08:43:04,4,1,2 và 8h,Không,15,25,Trọ,1000000
11/05/2026 09:39:39,1,1,0 và 0h,Có,8,25,Trọ,400000
11/05/2026 11:03:43,2,1,1 và 2h,Có,12,25,Trọ,500000
11/05/2026 12:06:11,2,1,1 và 8h,Có,5,20,Trọ,600000
11/05/2026 12:16:57,4,1,2 và 20h,Có,10,300,Chung cư,1500000
11/05/2026 12:25:49,2,1,1 và 4h,Có,6,30,Chung cư,200000
11/05/2026 16:33:17,1,0,2 và 12h,Không,0,15,Trọ,150000
11/05/2026 16:36:37,2,1,1  và 12h,Có,10,30,Trọ,500000
11/05/2026 16:56:46,4,2,2 và 24h,Có,8,10,Căn hộ,8000000
11/05/2026 17:00:55,40,1,2 và 8h,Có,12,150,Trọ,1000000
11/05/2026 17:05:04,1,0,1 và 10h,Không,0,10,Trọ,116000
11/05/2026 17:17:32,2,1,0 và 0h,Không,8,25,Trọ,250000
11/05/2026 17:24:58,2,1,1 và 24h,Có,0,5,Trọ,390000
11/05/2026 17:32:07,7,2,3 và 24h,Không,10,30,Ký túc xá,500000
11/05/2026 17:45:22,2,1,1 và 24h,Có,25,20,Trọ,350000
11/05/2026 18:29:47,7,1,2 và 24h,Không,12,25,Kí túc xá,700000
11/05/2026 18:55:23,4,1,3 và 24h,Không,12,16,Trọ,300000
11/05/2026 19:16:40,1,0,1 và 10h,Không,0,10,Trọ,116000
11/05/2026 19:53:11,3,1,2 và 24h,Có,8,30,Trọ,600000
11/05/2026 22:04:30,3,1,1 và 2h,Có,8,25,Chung cư,600000
11/05/2026 00:00:00,4,1,2 và 24h,Không,8,40,Kí túc xá,600000
11/05/2026 00:01:00,2,2,1 và 5h,Có,8,20,Trọ,500000
11/05/2026 00:02:00,2,1,1 và 24h,Có,8,12,Trọ,1500000
11/05/2026 00:03:00,3,1,4 và 24h,Có,0,40,Trọ,4000000
11/05/2026 00:04:00,2,1,3 và 24h,Có,8,14,Trọ,5000000
11/05/2026 00:05:00,7,2,0 và 0h,Không,12,40,Trọ,250000
11/05/2026 00:06:00,2,0,2 và 8h,Có,0,35,Nhà nguyên căn,390000
11/05/2026 00:07:00,4,1,0 và 0h,Có,15,10,Trọ,600000
11/05/2026 00:08:00,2,1,1 và 3h,Không,2,14,Trọ,116000
11/05/2026 00:09:00,3,0,3 và 12h,Có,10,20,Phòng trọ,8000000
11/05/2026 00:10:00,2,1,2 và 24h,Không,25,30,Trọ,1000000
11/05/2026 00:11:00,2,2,1 và 10h,Có,8,40,Trọ,500000
11/05/2026 00:12:00,1,1,4 và 24h,Có,10,5,Trọ,600000
11/05/2026 00:13:00,1,1,0 và 0h,Không,12,25,Căn hộ,5000000
11/05/2026 00:14:00,2,1,3 và 24h,Không,8,20,Trọ,1500000
11/05/2026 00:15:00,4,1,2 và 24h,Không,4,10,Trọ,300000
11/05/2026 00:16:00,7,0,2 và 24h,Có,8,10,Trọ,400000
11/05/2026 00:17:00,7,1,2 và 24h,Không,8,50,Trọ,150000
11/05/2026 00:18:00,2,0,2 và 24h,Có,4,25,Trọ,1000000
11/05/2026 00:19:00,3,0,1 và 24h,Có,8,14,Trọ,900
11/05/2026 00:20:00,3,1,3 và 24h,Có,8,5,Trọ,500000
11/05/2026 00:21:00,1,1,3 và 24h,Có,5,20,Trọ,116000
11/05/2026 00:22:00,3,1,1 và 10h,Có,25,20,Phòng trọ,2000000
11/05/2026 00:23:00,3,1,1 và 10h,Có,8,300,Trọ,116000
11/05/2026 00:24:00,2,0,3 và 24h,Không,8,36,Nhà nguyên căn,900
11/05/2026 00:25:00,1,1,2 và 8h,Không,7,25,Trọ,300000
11/05/2026 00:26:00,1,1,1 và 10h,Có,12,10,Trọ,1000000
11/05/2026 00:27:00,2,1,1 và 10h,Không,8,150,Căn hộ,990000
11/05/2026 00:28:00,4,2,2 và 24h,Có,8,5,Trọ,400000
11/05/2026 00:29:00,3,2,1  và 12h,Không,10,50,Trọ,300000
11/05/2026 00:30:00,2,1,3 và 24h,Có,12,15,Trọ,500000
11/05/2026 00:31:00,4,1,3 và 24h,Có,25,14,Chung cư,1000000
11/05/2026 00:32:00,2,1,1 và 4h,Có,10,15,Trọ,1000000
11/05/2026 00:33:00,2,1,1 và 3h,Có,10,5,Nhà nguyên căn,350000
11/05/2026 00:34:00,1,0,3 và 24h,Không,0,15,Trọ,350000
11/05/2026 00:35:00,2,0,4 và 24h,Không,8,30,Trọ,500000
11/05/2026 00:36:00,3,1,3 và 24h,Có,8,10,Trọ,1600000
11/05/2026 00:37:00,3,2,1 và 10h,Không,5,10,Chung cư,300000
11/05/2026 00:38:00,1,1,1 và 24h,Không,0,15,Chung cư,990000
11/05/2026 00:39:00,4,0,1 và 10h,Có,8,14,Chung cư,1000000
11/05/2026 00:40:00,1,1,2 và 24h,Không,8,35,Trọ,700000
11/05/2026 00:41:00,2,1,2 và 24h,Có,8,30,Trọ,600000
11/05/2026 00:42:00,3,2,2 và 10h,Không,8,30,Trọ,5000000
11/05/2026 00:43:00,4,1,1 và 2h,Có,12,15,Ký túc xá,200000
11/05/2026 00:44:00,7,1,4 và 24h,Có,10,50,Căn hộ,1000000
11/05/2026 00:45:00,3,0,3 và 24h,Có,5,40,Trọ,500000
11/05/2026 00:46:00,1,2,2 và 24h,Có,8,20,Trọ,700000
11/05/2026 00:47:00,2,1,1 và 2h,Có,4,25,Trọ,1600000
11/05/2026 00:48:00,1,1,1 và 5h,Có,2,40,Trọ,116000
11/05/2026 00:49:00,2,1,2 và 24h,Có,8,25,Trọ,1100000
11/05/2026 00:50:00,7,1,2 và 24h,Có,8,20,Nhà nguyên căn,1600000
11/05/2026 00:51:00,3,1,2 và 24h,Có,10,30,Trọ,350000
11/05/2026 00:52:00,2,1,3 và 24h,Có,8,5,Trọ,1000000
11/05/2026 00:53:00,4,1,1 và 24h,Có,5,14,Trọ,150000
11/05/2026 00:54:00,3,1,0 và 0h,Không,4,10,Trọ,500000
11/05/2026 00:55:00,3,2,1 và 24h,Không,0,30,Nhà nguyên căn,700000
11/05/2026 00:56:00,3,2,1 và 10h,Có,8,30,Chung cư,250000
11/05/2026 00:57:00,1,1,3 và 24h,Có,12,25,Trọ,400000
11/05/2026 00:58:00,2,0,1 và 10h,Không,12,20,Kí túc xá,1000000
11/05/2026 00:59:00,7,1,1 và 2h,Có,0,14,Kí túc xá,200000
11/05/2026 01:00:00,2,2,3 và 24h,Có,0,25,Chung cư,1600000
11/05/2026 01:01:00,4,1,1 và 2h,Có,12,16,Trọ,1000000
11/05/2026 01:02:00,3,2,1 và 24h,Có,8,5,Trọ,8000000
11/05/2026 01:03:00,3,0,3 và 24h,Có,24,30,Nhà nguyên căn,350000
11/05/2026 01:04:00,1,1,1 và 3h,Không,2,36,Chung cư,900000
11/05/2026 01:05:00,3,0,3 và 12h,Có,8,50,Trọ,700000
